Composite Element REF,Gene_Symbol,Chromosome,Genomic_Coordinate
cg14168975,ALAS2,X,55057838
cg14170423,RASGRP2,11,64513809
cg14171478,C14orf118,14,76618642
cg14171523,SLC25A44,1,156163644
cg14171882,HUS1,7,48019441
cg14172532,STK25,2,242447907
cg14173523,FUT5,19,5871035
cg14173613,TMEM33,4,41937393
cg14173969,CD300C,17,72541932
cg14174099,SLC8A3,14,70655862
cg14175438,FAM3C,7,121036729
cg14175580,CAMSAP1L1,1,200709051
cg14175593,UBTD1;MMS19,10,99257444
cg14176475,TTF1,9,135282081
cg14176836,ITGAL,16,30484218
cg14178895,C6orf105,6,11778902
cg14179628,TCEAL7,X,102584953
cg14181391,PIGU,20,33265182
cg14181459,SMAD5;SMAD5OS,5,135468353
cg14182690,RUNX3,1,25290947
cg14183455,MATN1,1,31196733
cg14184817,EXOC3L2,19,45737483
cg14186071,,X,30993102
cg14186992,ZBTB48;TAS1R1,1,6639570
cg14187678,TBR1,2,162272687
cg14188111,C1orf77;S100A13,1,153608034
cg14188232,ITGA11,15,68724065
cg14189571,ZFP42,4,188916943
cg14189614,SLC45A2,5,33984660
cg14191109,SLC25A16,10,70287438
cg14191360,MET,7,116311773
cg14195915,SFRS4,1,29507864
cg14196211,MRPL12,17,79670206
cg14196790,SLC22A5,5,131705035
cg14197923,FGF5,4,81187906
cg14198172,HBXIP,1,110950618
cg14201417,ADAMTSL2,9,136400057
cg14201617,C2orf61,2,47382452
cg14203179,GNAS,20,57430663
cg14203758,ASF1B,19,14247374
cg14204735,CYB561,17,61524304
cg14204791,PKNOX1,21,44394797
cg14205126,TMEM9B,11,8985648
cg14206730,SLC35D1,1,67519677
cg14209518,NNMT,11,114166636
cg14209569,COMMD4,15,75628553
cg14209870,TAS2R5,7,141489394
cg14211646,DHDDS,1,26758996
cg14212314,HSPE1;HSPD1,2,198364789
cg14213620,DFFB;KIAA0562,1,3773909
cg14213992,ZNF546,19,40503358
cg14217102,RAB1A,2,65357592
cg14217534,TUBA1B,12,49525474
cg14218343,ZNF32,10,44144641
cg14221171,TAC1,7,97361759
cg14221831,CDH16,16,66952714
cg14222233,PFKFB3,10,6245271
cg14223017,AP3D1,19,2151266
cg14223444,TSTD2;NCBP1,9,100394496
cg14223995,UCP1,4,141489799
cg14225485,FAM84A,2,14772568
cg14225544,PLK2,5,57755798
cg14226064,SYS1-DBNDD2;TP53TG5,20,44006560
cg14228238,MECOM,3,168864123
cg14228840,MICA,6,31371488
cg14230133,IDS,X,148587055
cg14230685,SPIN1,9,91004214
cg14234680,IMPAD1,8,57905925
cg14236389,C20orf197,20,58631038
cg14236602,PFKL,21,45720651
cg14238120,CELA3A,1,22328026
cg14242042,SOX5,12,24715250
cg14242091,TOP3B,22,22337171
cg14244577,DDX19B,16,70332878
cg14246617,MITF,3,69788840
cg14249872,KCNK1,1,233749672
cg14251536,C20orf7;ESF1,20,13765341
cg14252059,TECTA,11,120973274
cg14252569,DACT1,14,59104316
cg14254380,WDR63,1,85527879
cg14254419,AMPD2,1,110162217
cg14255089,ZMYND11,10,180755
cg14256699,SOST,17,41836026
cg14256814,POGK,1,166808417
cg14258236,OR5V1,6,29323330
cg14260458,OCM2,7,97620123
cg14260643,CYP3A5,7,99277394
cg14260918,ZNF673,X,46306533
cg14261309,C1orf163,1,53164287
cg14261863,ELMO2,20,45035638
cg14262937,OPRM1,6,154360351
cg14264994,CTCFL,20,56099548
cg14265075,ARHGEF11,1,157016521
cg14265670,UPP1,7,48128300
cg14267151,MUTED,6,8066098
cg14269477,TRPV5,7,142630597
cg14269514,OAZ3;MRPL9,1,151736130
cg14271400,EPHB2,1,23036980
cg14271499,THOP1,19,2785891
cg14271690,ADIG,20,37209999
cg14271908,TFAM,10,60144732
cg14272175,PXK,3,58318960
cg14272706,ALS2CR12,2,202216039
cg14275779,PLEKHH3,17,40830236
cg14277764,PMCHL2,5,70671764
cg14277848,GPATCH4,1,156570825
cg14279899,IFNGR1,6,137540774
cg14281160,LLPH,12,66524943
cg14281165,PIGO,9,35096257
cg14282941,C14orf104,14,50100316
cg14283939,THSD4,15,72020908
cg14284643,PRR3;GNL1,6,30524853
cg14285013,MYBL1,8,67526270
cg14287603,EPB41L5,2,120771169
cg14287742,BLZF1;NME7,1,169335773
cg14288464,WFDC5,20,43743301
cg14289461,LAMA4,6,112575929
cg14289511,,16,24682446
cg14289985,ZNF471,19,57018848
cg14290291,SMPD4;FAM128B,2,130940680
cg14290451,RPL10A,6,35436136
cg14292823,EEF1D;TIGD5,8,144681097
cg14294758,LSAMP,3,116163694
cg14296129,RAB5B,12,56367904
cg14296147,PET117,20,18118706
cg14297029,SSTR3,22,37607676
cg14297876,MAGOH,1,53704016
cg14298379,MYLIP,6,16128926
cg14298726,GTPBP10,7,89976216
cg14298780,ZNF230,19,44506864
cg14298951,RPS24,10,79793653
cg14299177,MTFR1,8,66557547
cg14299800,TOR1B,9,132564053
cg14301635,C2,6,31895203
cg14303330,RPL22,1,6259905
cg14303674,MAPRE1,20,31407348
cg14304761,SYK,9,93564149
cg14306534,ZBTB2,6,151712952
cg14307212,SLC12A6,15,34611009
cg14308291,EIF2C3,1,36396265
cg14308452,PRR22,19,5784184
cg14310034,BMP4,14,54423433
cg14310890,FOXO3,6,108881016
cg14311811,DSG2,18,29077863
cg14313310,GLT25D2,1,184006816
cg14314889,OR1E2,17,3336771
cg14315198,UNC119,17,26879866
cg14317651,GALK2;COPS2,15,49448126
cg14318370,CHCHD5,2,113342262
cg14319409,GLRA1,5,151304409
cg14320796,MND1,4,154265537
cg14321399,RRAGB,X,55744191
cg14321743,PLA2G2D,1,20445662
cg14322224,DDAH1,1,85931226
cg14323109,KDR,4,55991943
cg14323928,TRPM1,15,31393845
cg14324200,SAMD11,1,861317
cg14324675,LST1,6,31554848
cg14324838,EPB41L1,20,34700675
cg14325649,RBMS1,2,161350625
cg14329157,WDR69,2,228736135
cg14329976,NEIL2,8,11627812
cg14331163,RORB,9,77111663
cg14332079,KCTD9;CDCA2,8,25316196
cg14333454,SFN,1,27189298
cg14333565,NRTN,19,5824065
cg14334099,PTPN12,7,77166091
cg14336578,LETM2,8,38243683
cg14337900,MYH9,22,36783947
cg14338062,MARS,12,57883279
cg14338548,LALBA,12,48963631
cg14338887,GNMT,6,42928500
cg14341030,WBP11;C12orf60,12,14956580
cg14341418,APOM,6,31624284
cg14341579,IRS2,13,110438906
cg14343062,ERCC6,10,50746568
cg14343107,BUB1B,15,40453695
cg14345281,NHS,X,17393584
cg14345676,HRH2,5,175109098
cg14345882,BTN3A2,6,26364793
cg14346035,PDP1,8,94928406
cg14346048,TMEM47,X,34675036
cg14348532,CALCA,11,14993562
cg14350002,GAS1,9,89562473
cg14353162,TMEM55B,14,20929766
cg14353201,ALDH3B2,11,67448395
cg14353516,SEPT2;HDLBP,2,242256053
cg14354749,EIF1AX,X,20160069
cg14356114,PAGE4,X,49592934
cg14356550,KLHDC7A,1,18808102
cg14356946,EIF2S2,20,32700496
cg14358502,HYAL3;NAT6,3,50337045
cg14358709,RNF19A,8,101321928
cg14360897,RNF167;SLC25A11,17,4843676
cg14360917,SP2,17,45992122
cg14363494,RING1,6,33176234
cg14364739,PRRG2;NOSIP,19,50083632
cg14365123,ACTRT2,1,2938246
cg14366490,NXNL1,19,17571825
cg14366598,IL25,14,23841754
cg14367014,ICA1L,2,203735128
cg14367344,PRKAB2,1,146644336
cg14368286,PRAF2,X,48931953
cg14370448,YPEL3;TBX6,16,30103978
cg14371329,GNAL,18,11688011
cg14371590,SLC26A10,12,58013915
cg14372394,CHST10,2,101033546
cg14372520,EDA2R,X,65835804
cg14374842,ACTR5,20,37376497
cg14375111,TMEM43;CHCHD4,3,14165186
cg14376424,FAM71B,5,156592780
cg14377370,NCAPG;DCAF16,4,17812264
cg14377593,TFPI2,7,93520183
cg14377791,LOC400696,19,40169912
cg14378057,KIAA0240,6,42788563
cg14378480,DNASE2B;UOX,1,84864188
cg14379865,GRM5,11,88781109
cg14380517,BTG3,21,18985761
cg14383135,NPAS2,2,101436923
cg14384532,NTRK3,15,88800624
cg14384940,C21orf81,21,15352790
cg14385738,PTPN22,1,114414340
cg14386061,DOK2,8,21771446
cg14386312,ZNF544,19,58740861
cg14386548,SLC25A20,3,48937622
cg14386691,C14orf93,14,23479657
cg14387505,AHSP,16,31538946
cg14391622,SLC12A8,3,124931956
cg14391855,RIN1,11,66104174
cg14396117,MYO16,13,109248047
cg14399060,HOXD4;MIR10B,2,177015070
cg14399078,ADPRH,3,119298802
cg14399447,PLA2G4C,19,48613950
cg14400118,MMP2,16,55513191
cg14400631,PDE3B;PSMA1,11,14666512
cg14401454,TPPP2,14,21497485
cg14401592,ACCN5,4,156787800
cg14401837,NPSR1,7,34697493
cg14401897,SBNO2,19,1174667
cg14402472,HLA-F,6,29691165
cg14404298,CYP8B1,3,42919025
cg14405589,TUBGCP3,13,113242289
cg14407437,FABP3,1,31845923
cg14407667,EPS15,1,51985209
cg14408969,C8orf40;SLC20A2,8,42396118
cg14409083,EMP1,12,13349724
cg14409941,ADAMTS2,5,178771781
cg14409958,ENPP2,8,120651652
cg14414534,TMOD1,9,100286483
cg14414819,TMEM217;TBC1D22B,6,37225644
cg14415034,SACM1L,3,45730717
cg14415214,PHLDA2,11,2950403
cg14417329,SLC16A3,17,80186273
cg14419187,UNC80,2,210637094
cg14423778,MBNL1;LOC401093,3,151985433
cg14424111,KIAA0406;RPRD1B,20,36662310
cg14424530,SLC7A1,13,30170129
cg14424579,AGBL5,2,27274309
cg14425294,GUCY2D,17,7905636
cg14426525,SMPDL3A,6,123110598
cg14426682,MORF4L1,15,79164100
cg14427173,RINT1,7,105172403
cg14430111,TM7SF2,11,64879374
cg14430151,ACOX3,4,8440600
cg14434255,ENTPD7,10,101419627
cg14435640,AGPAT6,8,41436176
cg14435807,LOXL1,15,74218780
cg14436426,OPRL1;RGS19,20,62712394
cg14437986,C6orf25,6,31691035
cg14438174,DVL2,17,7137923
cg14439353,EEF1E1,6,8102781
cg14440664,PDCD1LG2,9,5509642
cg14440934,ZDHHC1,16,67450691
cg14443380,SEMA7A,15,74725882
cg14444244,METTL8,2,172270326
cg14444710,PDPK1,16,2587080
cg14445076,DHH,12,49488709
cg14445437,PIGS,17,26898124
cg14446712,SDPR,2,192712158
cg14446808,SQSTM1;MGAT4B,5,179233589
cg14448104,MATN4,20,43933556
cg14448116,NDUFS2;ADAMTS4,1,161170110
cg14448145,DNAJC5,20,62525650
cg14448864,HYAL3;NAT6,3,50336673
cg14449051,SLC6A15,12,85306474
cg14449575,HAPLN4,19,19373743
cg14450506,DDX56,7,44614519
cg14450605,NCOA4,10,51572496
cg14451276,AOAH,7,36764019
cg14452140,SEC14L2,22,30793438
cg14452392,CCNH,5,86708659
cg14452789,GMCL1,2,70056602
cg14452875,NR1D2,3,23987206
cg14453641,AGL,1,100315326
cg14454278,TDP1,14,90422626
cg14455307,BCL2,18,60987429
cg14455487,FOXJ3,1,42800860
cg14455991,CASK;GPR82,X,41582245
cg14456683,ZIC1,3,147127010
cg14457691,ARMCX4,X,100740937
cg14458615,C3orf30;IGSF11,3,118864952
cg14458731,COQ4;TRUB2,9,131083555
cg14458834,HOXB4,17,46655394
cg14460735,CNST;TFB2M,1,246728727
cg14461963,DHTKD1,10,12111049
cg14462626,MYL12B,18,3261712
cg14462830,TRDN,6,123959184
cg14463304,DDX47,12,12965884
cg14464791,DDX6,11,118661599
cg14465910,GTPBP2;MAD2L1BP,6,43596764
cg14467840,S100A13;S100A1,1,153600972
cg14469290,ALAD,9,116164446
cg14470209,ACAD9,3,128598183
cg14471560,C2orf64;UNC50,2,99225332
cg14471615,TSKU,11,76494102
cg14472778,CLCN6;MTHFR,1,11867308
cg14473016,RASD2,22,35937495
cg14473123,UBE2V2,8,48921407
cg14473145,CLEC14A,14,38725656
cg14473924,PDZRN3,3,73674170
cg14474880,MTF2,1,93544497
cg14477619,NPC1L1,7,44580881
cg14479329,RNASET2,6,167370587
cg14480463,INTS1,7,1543435
cg14481222,BIRC3,11,102187974
cg14481339,KCNJ1,11,128737319
cg14482322,TARSL2,15,102264062
cg14483391,HTR3D,3,183749227
cg14489649,KLHL11,17,40021376
cg14489884,MRFAP1L1,4,6711592
cg14490250,FAM96A,15,64386181
cg14492347,ZNF592,15,85292323
cg14493899,TAP2,6,32807374
cg14494313,NAT2,8,18248453
cg14494596,SHISA5,3,48542040
cg14494812,TOB1,17,48941039
cg14495243,CCDC59;C12orf26,12,82752005
cg14496375,CLDND2,19,51872365
cg14498423,CLSTN2,3,139653328
cg14499797,SOX4,6,21594038
cg14500718,TMEM79;SMG5,1,156251456
cg14501253,C8orf79,8,12809014
cg14502651,PRH2;PRR4;PRH1,12,11081604
cg14506552,NPPB,1,11918954
cg14506668,FHL1,X,135228853
cg14507042,TRAF2,9,139781209
cg14509125,TMEM160,19,47551842
cg14511156,OSCAR,19,54604124
cg14512008,PPP2R5C,14,102276078
cg14513226,LPGAT1,1,212003502
cg14514226,TMCC2,1,205197651
cg14515483,SOD2,6,160113813
cg14519000,GATA5,20,61041765
cg14519036,TNKS2,10,93558457
cg14519134,H1FOO,3,129261830
cg14519350,OSM,22,30661949
cg14519515,ADRBK1,11,67033594
cg14519525,GANAB,11,62414275
cg14520448,PQBP1;TIMM17B,X,48755206
cg14520511,KRIT1;ANKIB1,7,91875046
cg14520892,POLA1,X,24711633
cg14521746,PAK1,11,77185492
cg14522549,PDXK,21,45139379
cg14523284,IL13,5,131993614
cg14526843,KPNA1,3,122233584
cg14527441,KHK,2,27309759
cg14527802,TNFAIP3,6,138188823
cg14528319,GIPC1,19,14607713
cg14529146,FKBP10;SC65,17,39968600
cg14530801,STX18,4,4544016
cg14532519,TCF20,22,42612642
cg14532644,FECH,18,55253643
cg14534464,NFE2L3,7,26191633
cg14534967,ABHD11,7,73153139
cg14535518,MAG,19,35782015
cg14538332,SDC2,8,97506180
cg14539231,EPSTI1,13,43566262
cg14540150,CTBP2,10,126849760
cg14540297,LOC339524,1,87597473
cg14541311,MYH6,14,23877130
cg14541939,NDUFA1;RNF113A,X,119005913
cg14541950,HIST3H2A;HIST3H2BB,1,228645704
cg14542238,TGOLN2,2,85555574
cg14542839,PAMR1,11,35547074
cg14544583,HBB,11,5248566
cg14545899,FAM46C,1,118149019
cg14546153,APCDD1L,20,57090315
cg14547335,ATP2B2,3,10491247
cg14550007,SCMH1,1,41707370
cg14550066,NCR1,19,55417500
cg14550101,HCN3,1,155247361
cg14550518,ZNF385D,3,21792938
cg14550570,LRRC47,1,3712988
cg14552982,EXOSC2,9,133568226
cg14556189,SMAD3,15,67358639
cg14556618,IGF2R,6,160390829
cg14560064,ZBTB6,9,125675653
cg14560895,KDM5B,1,202777719
cg14561282,ADAM29,4,175839468
cg14562990,LDOC1,X,140271626
cg14563260,LPAR1,9,113801320
cg14566624,GPR153,1,6321582
cg14568338,IGF1R,15,99191797
cg14569415,GMPPA,2,220363584
cg14570389,RAP2C,X,131351543
cg14571620,C12orf65,12,123717888
cg14572111,SYT7,11,61348901
cg14572485,AMZ2,17,66244196
cg14576628,PRMT1,19,50180360
cg14576681,COX7A2L,2,42588304
cg14576824,RPS6KC1,1,213224402
cg14577211,ZNF641,12,48744457
cg14578030,FGF4,11,69591383
cg14579051,COL9A1,6,71012852
cg14580567,HHIP,4,145567271
cg14580737,LOC729991;RFXANK;LOC729991-MEF2B,19,19301780
cg14580982,ATP6V1C2,2,10861364
cg14585160,ZNF408;ARHGAP1,11,46722671
cg14586939,NPY2R,4,156130206
cg14588638,EWSR1;RHBDD3,22,29665400
cg14590817,ADARB2,10,1779730
cg14592065,MED24,17,38209993
cg14592099,PCDHB13,5,140593663
cg14592406,CABP1,12,121078658
cg14594876,SNTA1,20,32031951
cg14596431,B3GNTL1,17,81009998
cg14597908,GNASAS;GNAS,20,57414960
cg14598387,OR1N1,9,125289357
cg14600040,GPC4,X,132549764
cg14600885,MYOZ3,5,150040280
cg14601284,PLXDC1,17,37308278
cg14601560,SCLY,2,238970191
cg14602164,KIAA1712;FBXO8,4,175205422
cg14602658,TMEM39A,3,119182282
cg14603345,BTBD3,20,11871375
cg14603406,TRIM8,10,104404379
cg14605021,FGF20,8,16859754
cg14605134,EFNA4,1,155036362
cg14606768,C9,5,39365815
cg14607011,C10orf125,10,135171746
cg14607642,LBR,1,225617030
cg14607813,SRP9,1,225965727
cg14609458,PRRG4,11,32851177
cg14610746,CLN6,15,68521218
cg14611112,LCN6,9,139643351
cg14611174,SIX6,14,60975837
cg14613546,BNC2,9,16729103
cg14613832,CYP26A1,10,94833615
cg14613972,ATG10,5,81267578
cg14614211,MKX,10,28034247
cg14614901,TMEM215,9,32783463
cg14615807,BSND,1,55464173
cg14616651,NDUFA1;RNF113A,X,119004996
cg14617642,H2AFY2,10,71812630
cg14618681,E2F1,20,32273893
cg14620221,OR8B8,11,124310939
cg14623313,APPBP2,17,58603785
cg14623518,FLJ90757;BAIAP2,17,79009114
cg14623805,CCAR1,10,70481056
cg14625604,UBE2A,X,118708625
cg14631703,EIF3K;MAP4K1,19,39110062
cg14633527,SHISA5,3,48541379
cg14633704,HSD17B3,9,99065350
cg14634319,BAZ2A,12,57030450
cg14634336,REV3L,6,111804804
cg14634738,RBM5,3,50126100
cg14636377,RHEBL1,12,49463506
cg14640481,BRI3,7,97910728
cg14640682,GYS1;RUVBL2,19,49496473
cg14642338,PAMR1,11,35547903
cg14642832,RBMX,X,135963137
cg14643520,ATP1B3,3,141595277
cg14643978,TMC1,9,75136564
cg14645085,RANBP9,6,13712693
cg14645481,HINT1,5,130501199
cg14645650,RUNX3,1,25228801
cg14645972,DKFZP686I15217,6,2988997
cg14646244,SLC26A4;LOC286002,7,107300287
cg14647515,C10orf12,10,98741349
cg14651992,CROT;TP53TG1,7,86974674
cg14652095,HIST1H1A,6,26018185
cg14654385,FERMT3,11,63973006
cg14654731,TMEM155;LOC100192379,4,122685145
cg14654875,NAT15;ZNF597,16,3493997
cg14654926,FGF10,5,44388688
cg14657159,ORMDL2;SARNP,12,56211136
cg14658285,ADAT3;SCAMP4,19,1905417
cg14658362,RBPMS,8,30241661
cg14658900,ZNF174;ZNF434,16,3450923
cg14659404,ASTN1,1,177134019
cg14659547,RETNLB,3,108476126
cg14662172,CPB2,13,46679081
cg14662379,KIF1A,2,241759279
cg14662756,NPFF,12,53901405
cg14663065,CTNNB1,3,41241630
cg14663792,C6orf48;SNORD48,6,31802922
cg14665389,TCF7L2,10,114710815
cg14666892,BAK1,6,33547980
cg14667033,TMEM2,9,74384303
cg14667273,VWA1,1,1369934
cg14671453,STX4,16,31044716
cg14671488,YES1,18,811809
cg14672622,C2orf28;SLC5A6,2,27434752
cg14672680,TNNI2,11,1859838
cg14672994,ACSF2,17,48503057
cg14674582,PLAC1,X,133792282
cg14676817,AKIRIN1,1,39457257
cg14679202,L3MBTL2,22,41600978
cg14679230,LIPE,19,42931679
cg14679587,GLS2,12,56882324
cg14681055,PITX3,10,104001261
cg14681629,C5orf39;LOC153684,5,43041808
cg14681767,ARHGEF10,8,1772393
cg14683036,MMAB;MVK,12,110011466
cg14685339,POMT2;GSTZ1,14,77787351
cg14688272,FN3KRP,17,80673958
cg14688956,PAK3,X,110339862
cg14689355,ACVR2A,2,148602399
cg14693893,DYNC1H1,14,102430593
cg14694011,CYP19A1,15,51631024
cg14694232,TRIM26,6,30181448
cg14694952,HTT,4,3076907
cg14695751,CDK15,2,202671292
cg14696348,MC1R,16,89984517
cg14696396,TM6SF1,15,83776446
cg14696820,LCE1A,1,152800168
cg14696870,FCER1A,1,159258877
cg14698961,KLRAQ1,2,48667887
cg14700577,SCAP,3,47517001
cg14700707,NOTCH4,6,32191840
cg14700821,ADAMTS6,5,64777802
cg14701410,SLC4A8,12,51818681
cg14701962,C1orf226;C1orf111,1,162348010
cg14702264,C7orf42,7,66385829
cg14704941,CSRP3,11,19224659
cg14706178,LRGUK,7,133812217
cg14706739,EPB49,8,21916355
cg14707431,TSTD2;NCBP1,9,100395413
cg14708847,PAK3,X,110339313
cg14709481,HK3,5,176325836
cg14709524,TCF25,16,89940631
cg14710524,PRR14,16,30662724
cg14711016,NARFL,16,790766
cg14711201,SKP2;LMBRD2,5,36152436
cg14711709,TMEM186;PMM2,16,8891291
cg14712964,BRPF1,3,9773672
cg14714578,B3GALTL,13,31774336
cg14717170,SLITRK3,3,164914471
cg14717946,RBBP5,1,205090841
cg14718680,PGD,1,10459268
cg14719055,RBBP7,X,16889683
cg14719352,FGF21;FUT1,19,49258131
cg14721213,FMO2,1,171154612
cg14722162,C5orf20,5,134783186
cg14723014,ZMYM5,13,20436987
cg14723032,PITPNM3,17,6460572
cg14723799,C14orf104,14,50101089
cg14724265,PPEF2,4,76823661
cg14724364,KCNJ11,11,17410554
cg14724613,GRM3,7,86273429
cg14726525,LSM1;BAG4,8,38035001
cg14726637,CR1,1,207669308
cg14727512,TSSK2;DGCR14,22,19118918
cg14727952,BIRC2,11,102218358
cg14729071,RAD21,8,117886537
cg14732136,KPNA2,17,66031828
cg14732540,BRDT,1,92414722
cg14733672,HMOX1,22,35777245
cg14736210,KCNB1,20,48098642
cg14736911,MYOZ2,4,120057818
cg14737613,RANBP3,19,5978790
cg14737977,ITGA3,17,48134226
cg14738823,ERP27,12,15090958
cg14740251,,19,52140097
cg14741666,ZNHIT3,17,34842576
cg14741922,SCGB2A2,11,62036934
cg14743462,HIST3H2A,1,228646946
cg14743649,CENPI,X,100353353
cg14747072,STAC3,12,57645108
cg14747225,SNRNP25;POLR3K,16,103024
cg14750190,TACO1,17,61678092
cg14751914,SMAD7,18,46477404
cg14753432,ALX4,11,44324833
cg14754581,CCRL2,3,46448753
cg14755009,TIRAP,11,126153305
cg14755341,CDKL5,X,18444361
cg14755852,SLC25A37,8,23386014
cg14757492,COPE;DDX49,19,19029194
cg14758413,DHX30,3,47843865
cg14758526,CASP5,11,104879683
cg14759043,EFCAB4B,12,3862597
cg14761227,CPA1,7,130021088
cg14764661,MRC2,17,60704382
cg14766198,CDC14A,1,100818374
cg14766682,CCDC120,X,48916658
cg14767877,PSAP,10,73611073
cg14769265,PCYT1A,3,196014280
cg14772955,KIAA0319L;NCDN,1,36024404
cg14773259,TSEN15,1,184021034
cg14773282,GMIP,19,19754574
cg14775560,FOLH1,11,49230168
cg14776416,MELK,9,36573072
cg14776962,HIST1H2BH;HIST1H3F,6,26251899
cg14777972,MUDENG;EXOC5,14,57735262
cg14780914,C20orf12;POLR3F,20,18447767
cg14781919,ITGAE;GSG2,17,3627394
cg14782678,TMEM102,17,7339721
cg14784348,HCFC1,X,153229933
cg14784653,BEND7,10,13545008
cg14784788,CDC25C,5,137667435
cg14785449,ASNS,7,97501736
cg14785479,SCARF2,22,20792535
cg14787704,SFRS12,5,65449380
cg14789259,FAM84A,2,14773457
cg14789590,BPIL2,22,32853844
cg14789804,OS9,12,58087958
cg14789928,RBX1,22,41347758
cg14791831,CCDC101,16,28565295
cg14792155,PLA2G4E,15,42289618
cg14792480,CDH16,16,66954257
cg14795305,SMARCD3,7,150974453
cg14795968,ACADL,2,211089815
cg14796007,MCM7;AP4M1,7,99697978
cg14797438,PPP4R1,18,9615155
cg14797887,MNS1,15,56757312
cg14799446,FKRP;STRN4,19,47250607
cg14800883,ARPC4;TADA3,3,9834004
cg14801726,SRP68,17,74068204
cg14802310,TUBA1A,12,49582599
cg14802951,ADAMTS13,9,136287409
cg14807303,AR,X,66763445
cg14808739,SREBF1,17,17741098
cg14809191,FOXQ1,6,1311825
cg14812492,DGKH,13,42622014
cg14813083,LDHAL6A,11,18477280
cg14813406,CDC14A,1,100817041
cg14815778,FAM58A,X,152865295
cg14816013,OBFC2B,12,56618154
cg14816748,PRPSAP1,17,74349897
cg14817143,TTPA,8,63998778
cg14817542,HIF1AN,10,102295790
cg14817848,DUSP16,12,12715558
cg14818279,SH3TC2,5,148442554
cg14820573,POLR3K,16,102121
cg14820798,ZNF767,7,149321188
cg14821083,SEPHS2,16,30457280
cg14822966,SLBP,4,1714979
cg14823109,BCAS4,20,49411412
cg14823162,POU3F2,6,99281628
cg14824983,SEMA3B,3,50304424
cg14826456,ADRB1,10,115804095
cg14826683,SPRR2D,1,153013830
cg14828965,RNF40;C16orf93,16,30773423
cg14829378,B4GALT1,9,33167077
cg14830952,E2F5,8,86089500
cg14831798,CDYL,6,4706427
cg14831838,CDK5R2,2,219824308
cg14832358,SRBD1,2,45837811
cg14832904,GPR75;LOC100302652,2,54087028
cg14833160,BAX,19,49457855
cg14833385,HLA-DMA,6,32921142
cg14834436,MNAT1,14,61201418
cg14835962,THAP7;FLJ39582,22,21355944
cg14837082,HRH1,3,11294604
cg14837165,CHST14,15,40763995
cg14838256,SRD5A3,4,56212685
cg14839257,RPS6KA2,6,167275999
cg14839898,TIMM8B;SDHD,11,111956362
cg14839932,SRF,6,43139162
cg14840416,ZFP36L2;LOC100129726,2,43453324
cg14841098,SLC9A7,X,46618968
cg14841875,ATP1A1,1,116916411
cg14844130,VPREB1,22,22598937
cg14845091,ADPRHL1,13,114107956
cg14846293,AXIN2,17,63557693
cg14847483,TMEM85,15,34516640
cg14847688,GPR135,14,59932113
cg14849423,MIMT1;PEG3;ZIM2,19,57351791
cg14849559,TMBIM1;PNKD,2,219157356
cg14850026,L1TD1,1,62660191
cg14850181,MPST;TST,22,37416188
cg14851685,CYP4F22,19,15618559
cg14853515,LSM5,7,32530038
cg14854487,LAMP2,X,119603098
cg14858551,ZNF133,20,18269244
cg14859417,PTPRE,10,129704949
cg14859460,GRM6,5,178422244
cg14859749,SF3A1;CCDC157,22,30753135
cg14860494,GCLM,1,94374966
cg14861570,MMD,17,53499954
cg14863484,GOT2,16,58768010
cg14864603,AANAT,17,74462846
cg14865516,PAIP1,5,43557751
cg14865868,TRIB2,2,12856040
cg14869028,TINAGL1,1,32042161
cg14870271,LGALS3BP,17,76976010
cg14870461,C3orf64,3,69062103
cg14871138,NTSR1,20,61340885
cg14871544,DSG3,18,29027885
cg14871856,GTF2E2,8,30515337
cg14872956,APAF1;IKBIP,12,99039015
cg14873135,TARS,5,33440653
cg14874121,HSD17B4,5,118788291
cg14876043,NLRP7,19,55458730
cg14880655,MAP1LC3A,20,33133505
cg14880800,DNAH5,5,13945990
cg14882700,OTOP1,4,4228571
cg14884741,PPP1R14C,6,150464644
cg14885742,IFITM3,11,320956
cg14886269,TNFRSF18,1,1141927
cg14887509,WASF2,1,27816781
cg14889768,RAB32,6,146864529
cg14892037,SNX12,X,70288026
cg14892066,DCTD,4,183839263
cg14892768,AXL,19,41725332
cg14893129,CARD14,17,78152051
cg14893161,PM20D1,1,205819251
cg14893163,PCDH17,13,58206036
cg14894144,LAMA3,18,21270554
cg14894216,CATSPER1,11,65794352
cg14896003,RASSF7,11,562366
cg14896516,CRHR2,7,30722361
cg14897096,PC,11,66722073
cg14898639,C20orf117,20,35423080
cg14898779,STK31,7,23749607
cg14898892,SHROOM3,4,77356180
cg14899547,CKAP2L,2,113521923
cg14900471,GATA4,8,11561620
cg14902389,MGAT4A,2,99342685
cg14903309,TARBP2;MAP3K12,12,53894418
cg14904464,NELL2,12,45269790
cg14908548,MAML1,5,179159589
cg14910241,TGFBR2,3,30648598
cg14911395,SEMA3B,3,50311213
cg14911472,MED23,6,131949010
cg14912034,LYZL2,10,30918851
cg14912575,C14orf162,14,70038236
cg14913610,KLRG1,12,9142341
cg14913925,C7orf38,7,99149239
cg14914982,CCND2,12,4382985
cg14915165,WDR3;GDAP2,1,118471929
cg14915263,PTPN1,20,49127137
cg14916079,NANOS1,10,120788696
cg14916213,RBM4,11,66405818
cg14916288,CCL23,17,34345136
cg14917512,GNA11,19,3094685
